Snapshot_Month,SOW_ID,Customer_Name,Quantum/SMART,Quantum Go-Live Date,Starting_ARR,New Business_ARR,Expansion_ARR,Schedule Change_ARR,Contraction_ARR,Churn_ARR,Ending_ARR,Region,Vertical,Segment,Contract_Start_Date,Contract_End_Date,Renewal_Risk
1/1/2024,4,ABM,SMART,12/31/2027,274599.96,0,21999.96,0,0,0,296600.04,,,,,,
1/1/2024,13,Ahlstrom,SMART,,85854.96,0,0,0,0,0,85854.96,,,,,,
1/1/2024,40,"Apex Tool Group, LLC",SMART,12/31/2026,499500,0,0,0,0,0,499500,,,,,,
1/1/2024,82,Assurant,SMART,12/31/2027,440000.04,0,0,0,0,0,440000.04,,,,,,
1/1/2024,89,Astellas,SMART,,180999.96,0,0,0,0,0,180999.96,,,,,,
1/1/2024,92,AstraZeneca UK Limited,SMART,,185000.04,0,5553.96,0,0,0,190554,,,,,,
1/1/2024,95,AT&T,SMART,2/28/2026,198096,0,0,0,0,0,198096,,,,,,
1/1/2024,98,AT&T,SMART,2/28/2026,45000,0,0,0,0,0,45000,,,,,,
1/1/2024,110,AVX Corporation,SMART,,114999.96,0,0,0,0,0,114999.96,,,,,,
1/1/2024,119,Bank of America N.A.,Quantum,,275000.04,0,0,0,0,0,275000.04,,,,,,
1/1/2024,149,Biogen Idec MA,SMART,,87999.96,0,0,0,0,0,87999.96,,,,,,
1/1/2024,155,Bio-Rad Laboratories,SMART,,71499.96,0,0,0,0,0,71499.96,,,,,,
1/1/2024,156,BioMarin Pharmaceutical Inc.,SMART,,148989.12,0,0,0,0,0,148989.12,,,,,,
1/1/2024,160,"Black Hills Service Company, LLC",SMART,,56000.04,0,0,0,0,0,56000.04,,,,,,
1/1/2024,169,Walgreen (Boots),SMART,12/31/2027,392905.56,0,0,0,-15111.72,0,377793.72,,,,,,
1/1/2024,171,Bonneville Power Administration,SMART,1/15/2026,165000,0,0,0,0,0,165000,,,,,,
1/1/2024,176,"Brighthouse Services, LLC",Quantum,2/23/2026,399000,0,0,0,0,0,399000,,,,,,
1/1/2024,197,"CCBCC Operations, LLC",SMART,,129000,0,0,0,0,0,129000,,,,,,
1/1/2024,217,Chevron Services Company,SMART,12/31/2027,2600000.04,0,0,0,0,0,2600000.04,,,,,,
1/1/2024,225,"Chick-fil-A, Inc.",SMART,,84999.96,0,0,0,0,0,84999.96,,,,,,
1/1/2024,234,Cincinnati Bell,SMART,12/31/2027,90000,0,0,0,0,0,90000,,,,,,
1/1/2024,235,Cincinnati Bell,SMART,12/31/2027,150000,0,0,0,0,0,150000,,,,,,
1/1/2024,238,Cincinnati Bell,SMART,12/31/2027,0,36000,0,0,0,0,36000,,,,,,
1/1/2024,259,Cox Communications,SMART,9/30/2027,96000,0,4800,0,0,0,100800,,,,,,
1/1/2024,261,Crescent Point Energy,SMART,6/24/2024,90000,0,0,0,0,0,90000,,,,,,
1/1/2024,266,Dentsply,SMART,12/30/2026,239000.04,0,0,0,0,0,239000.04,,,,,,
1/1/2024,286,EcoLab,SMART,11/10/2025,765000,0,0,0,0,0,765000,,,,,,
1/1/2024,294,The Estee Lauder Companies,SMART,,150540,0,0,0,0,0,150540,,,,,,
1/1/2024,296,"Exelon Business Services, LLC",Quantum,10/28/2024,675000,0,0,0,0,0,675000,,,,,,
1/1/2024,312,ExxonMobil Corporation,SMART,,1650000,0,0,0,0,0,1650000,,,,,,
1/1/2024,316,ExxonMobil Corporation,SMART,,710000.04,0,0,0,0,0,710000.04,,,,,,
1/1/2024,367,General Mills,SMART,6/30/2027,339900,0,0,0,0,0,339900,,,,,,
1/1/2024,398,"Hanesbrands, Inc",SMART,1/31/2026,186999.96,0,0,0,0,0,186999.96,,,,,,
1/1/2024,408,"Hologic, Inc.",SMART,,71000.04,0,0,0,0,0,71000.04,,,,,,
1/1/2024,429,IDEXX Laboratories,SMART,6/28/2026,137934.96,0,0,0,0,0,137934.96,,,,,,
1/1/2024,431,II-VI Incorporated,SMART,,110000.04,0,0,0,0,0,110000.04,,,,,,
1/1/2024,437,Ingram Micro,SMART,3/30/2026,105000,0,0,0,0,0,105000,,,,,,
1/1/2024,439,"Integrated Micro Electronics, Inc.",SMART,,80000.04,0,0,0,0,0,80000.04,,,,,,
1/1/2024,444,International Monetary Fund,SMART,,53000.04,0,0,0,0,0,53000.04,,,,,,
1/1/2024,447,"Intuit, Inc.",SMART,,172500,0,0,0,0,0,172500,,,,,,
1/1/2024,450,"Illinois Tool Works, Inc (ITW)",SMART,,225000,0,0,0,0,0,225000,,,,,,
1/1/2024,476,Johnson Controls,SMART,12/31/2027,539376,0,0,0,0,0,539376,,,,,,
1/1/2024,523,Kellanova,SMART,12/31/2027,774999.96,0,0,0,0,0,774999.96,,,,,,
1/1/2024,552,"Laredo Petroleum, Inc.",SMART,6/30/2026,93000,0,19650,0,0,0,112650,,,,,,
1/1/2024,558,Legal & General Resources Limited,SMART,12/30/2026,331488,0,13812,0,0,0,345300,,,,,,
1/1/2024,561,Lennox International,SMART,12/31/2027,462615,0,0,0,0,0,462615,,,,,,
1/1/2024,567,Lionsgate,Quantum,11/18/2024,125000.04,0,0,0,0,0,125000.04,,,,,,
1/1/2024,573,"Macy's Corporation Services, Inc",Quantum,2/10/2025,116000.04,0,0,0,0,0,116000.04,,,,,,
1/1/2024,580,Masco,Quantum,11/24/2025,253800,0,0,0,0,0,253800,,,,,,
1/1/2024,601,McKesson Corporation,SMART,,101000.04,0,0,0,0,0,101000.04,,,,,,
1/1/2024,604,Change Healthcare,SMART,,60000,0,0,0,0,0,60000,,,,,,
1/1/2024,633,"Mylan, Inc.",SMART,3/31/2027,665000.04,0,0,0,0,0,665000.04,,,,,,
1/1/2024,655,"Trividia Health, Inc.",SMART,,29450.04,0,0,0,0,0,29450.04,,,,,,
1/1/2024,661,OGE Energy Corp.,SMART,9/30/2026,483455.04,0,0,0,0,0,483455.04,,,,,,
1/1/2024,720,Royal London,Quantum,3/22/2025,210000,0,8750.04,0,0,0,218750.04,,,,,,
1/1/2024,728,"Schlage Lock Company, LLC",SMART,12/31/2027,230000.04,0,0,0,0,0,230000.04,,,,,,
1/1/2024,743,Serco Limited,SMART,11/30/2026,197978.4,0,0,0,0,0,197978.4,,,,,,
1/1/2024,752,"Sidley Austin, LLP",SMART,12/30/2027,345167.04,0,0,0,0,0,345167.04,,,,,,
1/1/2024,760,Spectrum Health,Quantum,2/10/2025,170000.04,0,0,0,0,0,170000.04,,,,,,
1/1/2024,782,Symetra Life Insurance Company,Quantum,9/19/2027,90950.04,0,0,0,0,0,90950.04,,,,,,
1/1/2024,792,Tata Global Beverages,SMART,,60000,0,0,0,0,0,60000,,,,,,
1/1/2024,820,University of California,Quantum,3/30/2027,480999.96,0,0,0,0,0,480999.96,,,,,,
1/1/2024,827,The University of Sydney,SMART,,48716.04,0,0,0,0,0,48716.04,,,,,,
1/1/2024,847,"Wyndham Worldwide Operations, Inc.",SMART,,200000.04,0,0,0,0,0,200000.04,,,,,,
