Snapshot_Month,Pipeline_Deal_ID,Deal_Name,Customer_Name,Deal_Value, License_ACV ,Implementation_Value,Logo_Type,Deal_Stage,Current_Stage,Probability,Expected_Close_Date,Region,Vertical,Segment,Product_Sub_Category,Sales_Rep
1/1/2024,3.08E+11,Rockwool International A/S_ S2S,Rockwool International A/S,"$511,500 ","$313,500 ","$198,000 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 12: Closed Declined (Software Sales Opportunity),15%,6/21/2024,Europe,CPG & Retail,,,Stephan Hesselgren
1/1/2024,3.08E+11,First Citizens Bank - S2P (no TPRM),"First Citizens BancShares, Inc.","$677,519 ","$302,519 ","$375,000 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),50%,3/28/2024,North America,BFSI,,,Jason Cooper
1/1/2024,3.08E+11,DSG_RFP_P2P & Sourcing,"DICK'S Sporting Goods, Inc.","$297,387 ","$297,387 ",$0 ,New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),15%,6/30/2024,North America,CPG & Retail,,,Brian Bergersen
1/1/2024,3.08E+11,Prudential - S2P,Prudential Financial Inc.,"$433,500 ","$268,500 ","$165,000 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),30%,3/29/2024,North America,BFSI,,,Uday Singh
1/1/2024,3.08E+11,Dollar Tree_RFP_S2P,"Dollar Tree, Inc.","$258,752 ","$258,752 ",$0 ,New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,5/3/2024,North America,CPG & Retail,,,Brian Bergersen
1/1/2024,3.08E+11,USAA_S2C + TPRM,The United Services Automobile Association (USAA),"$352,995 ","$240,375 ","$112,620 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,6/12/2024,North America,BFSI,,,Jack Keogh
1/1/2024,3.08E+11,Adobe_S2P,Adobe Systems Inc.,"$512,430 ","$230,430 ","$282,000 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),50%,3/29/2024,North America,Telecom/Media/Tech,,,Karson Keogh
1/1/2024,3.08E+11,"HP_Spend,SupplierManagement,CLM,NPI",Hewlett-Packard Company,"$285,000 ","$225,000 ","$60,000 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 10: Closed Lost (Software Sales Opportunity),50%,3/12/2024,North America,Telecom/Media/Tech,,,Christina Ambroson
1/1/2024,3.08E+11,GE Renewable Energy Canada Inc - SVCS,GE Renewable Energy Canada Inc,"$511,500 ","$210,000 ","$301,500 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 12: Closed Declined (Software Sales Opportunity),15%,2/14/2024,North America,Automotive and Industrial,,,Uday Singh
1/1/2024,3.08E+11,Exelon_S2P_RFP,Exelon Corporation,"$413,632 ","$188,632 ","$225,000 ",Cross Sell,Stage 4: Short-List (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),50%,2/16/2024,North America,Energy & Utilities,,,Brian Bergersen
1/1/2024,3.08E+11,PNC_S2P,PNC Bank Delaware,"$270,000 ","$150,000 ","$120,000 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,3/13/2024,North America,BFSI,,,Brian Bergersen
1/1/2024,3.08E+11,Kruger Inc- S2P Opportunity,Kruger Inc.,"$285,000 ","$150,000 ","$135,000 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 8: Stalled (Software Sales Opportunity),15%,3/29/2024,North America,Automotive and Industrial,,,Mattie Farnsworth
1/1/2024,3.08E+11,Walmart New Venture Buy-Sell Opportunity,"Wal-Mart Stores, Inc.","$225,000 ","$150,000 ","$75,000 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,4/30/2024,North America,CPG & Retail,,,Uday Singh
1/1/2024,3.08E+11,Digital Dubai_ S2P,Digital Dubai,"$285,000 ","$150,000 ","$135,000 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,10/14/2024,Middle East,Public Sector,,,Abdel Halim
1/1/2024,3.08E+11,TOTALENERGIE - S2C,Total SA,"$330,000 ","$142,500 ","$187,500 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 4: Short-List (Software Sales Opportunity),15%,12/13/2024,Europe,Chemicals/Oil/Gas/Resources,,,Bernard Remacle
1/1/2024,3.08E+11,IHG S2P (originally S2C),InterContinental Hotels Group Plc,"$277,500 ","$140,250 ","$137,250 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),30%,3/15/2024,Europe,Other Services,,,Sam Zaki
1/1/2024,3.08E+11,Hess_S2P & NEXXE,Hess Corporation,"$375,750 ","$135,000 ","$240,750 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,11/21/2024,North America,Chemicals/Oil/Gas/Resources,,,Christina Ambroson
1/1/2024,3.08E+11,Acuity Brands - S2P,"Acuity Brands, Inc.","$1,383,300 ","$708,300 ","$675,000 ",New Logo,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),90%,1/14/2024,North America,Automotive and Industrial,,,Brian Bergersen
1/1/2024,3.08E+11,The Hanover Insurance Group - S2P RFP,"The Hanover Insurance Group, Inc.","$117,750 ","$117,750 ",$0 ,New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),30%,3/14/2024,North America,BFSI,,,Uday Singh
1/1/2024,3.08E+11,JPMorgan Chase - TPRM (Post Design License),JP Morgan Chase & Company,"$702,000 ","$702,000 ",$0 ,New Logo,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 7: Closed Won (Software Sales Opportunity),90%,1/31/2024,North America,BFSI,,,Suresh Visvanathan
1/1/2024,3.08E+11,Hempel A/S_S2P,Hempel A/S,"$283,350 ","$116,850 ","$166,500 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 5: Awarded / Preferred Partner (Software Sales Opportunity),50%,2/23/2024,Europe,Chemicals/Oil/Gas/Resources,,,Stephan Hesselgren
1/1/2024,3.08E+11,Phillips 66_S2P,Phillips 66,"$261,750 ","$116,250 ","$145,500 ",New Logo,Stage 4: Short-List (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),50%,10/8/2024,North America,Chemicals/Oil/Gas/Resources,,,Christina Ambroson
1/1/2024,3.08E+11,WIN Waste Innovations - S2P + Nexxe,Wheelabrator Technologies Inc,"$1,928,718 ","$686,718 ","$1,242,000 ",New Logo,Stage 6: Finalizing Contract (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),90%,11/13/2024,North America,Energy & Utilities,,,Brian Bergersen
1/1/2024,3.08E+11,National Water Company KSA (NWC)_S2C (P2P optional),National Water Company Saudi Arabia,"$232,500 ","$112,500 ","$120,000 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 12: Closed Declined (Software Sales Opportunity),15%,8/8/2024,Middle East,Other Services,,,Abdel Halim
1/1/2024,3.08E+11,Microsoft - Supplier Management & Contracts,Microsoft Corporation,"$217,266 ","$112,266 ","$105,000 ",New Logo,Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),Stage 11: Closed Dead (Software Sales Opportunity),15%,12/4/2024,North America,Telecom/Media/Tech,,,Tim Rothrock
1/1/2024,3.08E+11,Valley Bank _S2P,Valley National Bancorp,"$208,950 ","$103,950 ","$105,000 ",New Logo,Stage 3: RFP / Proposal (Software Sales Opportunity),Stage 2: RFI / Capability Deep-Dive (Software Sales Opportunity),30%,3/28/2024,North America,BFSI,,,Uday Singh
