SOW_ID,SOW Name,Vertical,Region,Fees_Type,Revenue_Type,Segment_Type,Start_Date
3445,Software Travel Accrual,Other Services,North America,Travel,Implementation,SMB,1/1/2025
3678,3M - S2P License fees,CPG & Retail,North America,Fees,License,Enterprise,9/1/2025
3679,3M - S2P Implementation fees,CPG & Retail,North America,Fees,Implementation,Enterprise,8/1/2025
2365,ADNOC - Spend Analytics license,Chemicals/Oil/Gas/Resources,Middle East,Fees,License,Enterprise,12/1/2022
4,ABM - License fee,Other Services,North America,Fees,License,Enterprise,1/1/2017
7,ABM - Helpdesk/Premium Support,Other Services,North America,Fees,Implementation,Enterprise,9/1/2018
1637,ABM - Catalog license,Other Services,North America,Fees,License,Enterprise,4/1/2021
3532,Accor - Transaction Fees Software GEP,Other Services,Europe,Fees,License,Enterprise,5/1/2025
3005,Acuity Brands - S2P License Fees,Automotive and Industrial,North America,Fees,License,SMB,6/1/2024
3006,Acuity Brands - S2P Implementation Fees,Automotive and Industrial,North America,Fees,Implementation,SMB,7/1/2024
3715,Acuity Brands - Continuous Improvement COE,Automotive and Industrial,North America,Fees,Implementation,SMB,8/1/2025
3705,Acuity Brands - Contract Extraction,Automotive and Industrial,North America,Fees,Implementation,SMB,9/1/2025
3761,Acuity Brands - S2P Implementation Fees Travel,Automotive and Industrial,North America,Travel,Implementation,SMB,10/1/2025
2501,Oryx - S2P License Fees,BFSI,Europe,Fees,License,SMB,4/1/2023
2502,Oryx - S2P Implementation Fees,BFSI,Europe,Fees,Implementation,SMB,6/1/2023
3431,Adobe - S2P License Fees,Telecom/Media/Tech,North America,Fees,License,Enterprise,3/1/2025
3432,Adobe - S2P Implementation Fees,Telecom/Media/Tech,North America,Fees,Implementation,Enterprise,3/1/2025
3644,Adobe/Accenture - S2P Implementation Fees Travel,Telecom/Media/Tech,North America,Travel,Implementation,Enterprise,7/1/2025
3353,Aeroports - S2C License Fees,Other Services,North America,Fees,License,SMB,3/1/2025
3354,Aeroports - S2C Implementation Fees,Other Services,North America,Fees,Implementation,SMB,3/1/2025
13,Ahlstrom - License fee,Automotive and Industrial,Europe,Fees,License,Enterprise,1/1/2017
2737,Ahlstrom (Munksjo ) - License fee,Automotive and Industrial,Europe,Fees,License,Enterprise,10/1/2023
14,Ahlstrom - Implementation Fees,Automotive and Industrial,Europe,Fees,Implementation,Enterprise,1/1/2018
