Snapshot_Month,SOW_ID,Customer_Name,Quantum/SMART,Quantum Go-Live Date,Starting_ARR,New Business_ARR,Expansion_ARR,Schedule Change_ARR,Contraction_ARR,Churn_ARR,Ending_ARR,Region,Vertical,Segment,Contract_Start_Date,Contract_End_Date,Renewal_Risk
1/1/2024,4,ABM,Quantum,12/31/2027,274600.00,0.00,22000.00,0.00,0.00,0.00,296600.00,,,,,,
1/1/2024,13,Ahlstrom,SMART,,85855.00,0.00,0.00,0.00,0.00,0.00,85855.00,,,,,,
1/1/2024,40,"Apex Tool Group, LLC",Quantum,12/31/2026,499500.00,0.00,0.00,0.00,0.00,0.00,499500.00,,,,,,
1/1/2024,82,Assurant,Quantum,12/31/2027,440000.00,0.00,0.00,0.00,0.00,0.00,440000.00,,,,,,
1/1/2024,89,Astellas,SMART,,181000.00,0.00,0.00,0.00,0.00,0.00,181000.00,,,,,,
1/1/2024,92,AstraZeneca UK Limited,SMART,,185000.00,0.00,5554.00,0.00,0.00,0.00,190554.00,,,,,,
1/1/2024,95,AT&T,Quantum,2/28/2026,198096.00,0.00,0.00,0.00,0.00,0.00,198096.00,,,,,,
1/1/2024,98,AT&T,Quantum,2/28/2026,45000.00,0.00,0.00,0.00,0.00,0.00,45000.00,,,,,,
1/1/2024,110,AVX Corporation,SMART,,115000.00,0.00,0.00,0.00,0.00,0.00,115000.00,,,,,,
1/1/2024,119,Bank of America N.A.,Quantum,,275000.00,0.00,0.00,0.00,0.00,0.00,275000.00,,,,,,
1/1/2024,149,Biogen Idec MA,SMART,,88000.00,0.00,0.00,0.00,0.00,0.00,88000.00,,,,,,
1/1/2024,155,Bio-Rad Laboratories,SMART,,71500.00,0.00,0.00,0.00,0.00,0.00,71500.00,,,,,,
1/1/2024,156,BioMarin Pharmaceutical Inc.,SMART,,148989.09,0.00,0.00,0.00,0.00,0.00,148989.09,,,,,,
1/1/2024,160,"Black Hills Service Company, LLC",SMART,,56000.00,0.00,0.00,0.00,0.00,0.00,56000.00,,,,,,
1/1/2024,169,Walgreen (Boots),Quantum,12/31/2027,392905.50,0.00,0.00,0.00,-15111.75,0.00,377793.75,,,,,,
1/1/2024,171,Bonneville Power Administration,Quantum,1/15/2026,165000.00,0.00,0.00,0.00,0.00,0.00,165000.00,,,,,,
1/1/2024,176,"Brighthouse Services, LLC",Quantum,2/23/2026,399000.00,0.00,0.00,0.00,0.00,0.00,399000.00,,,,,,
1/1/2024,197,"CCBCC Operations, LLC",SMART,,129000.00,0.00,0.00,0.00,0.00,0.00,129000.00,,,,,,
1/1/2024,217,Chevron Services Company,Quantum,12/31/2027,2600000.00,0.00,0.00,0.00,0.00,0.00,2600000.00,,,,,,
1/1/2024,225,"Chick-fil-A, Inc.",SMART,,85000.00,0.00,0.00,0.00,0.00,0.00,85000.00,,,,,,
