severity,category,metric_name,account_code,description,current_value,expected_value,variance_percent,detected_at,status,notes
critical,cost_spike,Cloud Infrastructure Cost,CC001-IT-INF,AWS compute costs exceeded budget by 45% due to unoptimized instances,705000.00,485000.00,45.36,2024-01-15T08:30:00Z,resolved,Identified unused instances and right-sized workloads. Implemented auto-scaling policies.
high,revenue_drop,North America Revenue,CC002-NAM,Q4 revenue 12% below forecast due to delayed enterprise deals,11000000.00,12500000.00,-12.00,2024-01-02T09:00:00Z,investigating,Three major deals pushed to Q1. Working with sales on acceleration plans.
medium,variance,Marketing Spend,CC004-DIG,Digital marketing spend 25% over budget,156250.00,125000.00,25.00,2024-01-20T14:15:00Z,resolved,Approved overage for successful campaign. Adjusted Q2 budget accordingly.
high,cost_spike,Professional Services,CC001-IT-DEV,Consulting fees 38% higher than planned,483000.00,350000.00,38.00,2024-01-31T10:00:00Z,investigating,Extended engagement scope. Reviewing SOW compliance.
low,pattern,Travel Expenses,CC002,Unusual spike in Q4 travel expenses,170000.00,125000.00,36.00,2024-01-05T11:30:00Z,dismissed,Expected increase due to end-of-year customer visits and SKO preparation.
medium,revenue_drop,EMEA Subscription Revenue,CC002-EMEA,Subscription revenue 8% below target,8050000.00,8750000.00,-8.00,2024-01-10T08:45:00Z,resolved,Currency headwinds impacted EUR-denominated contracts. Hedging strategy implemented.
critical,variance,Gross Margin,GLOBAL,Gross margin dropped 3 points below target,0.69,0.72,-4.17,2024-01-25T09:30:00Z,investigating,Mix shift toward lower-margin professional services. Reviewing pricing strategy.
high,cost_spike,Software Licenses,CC001-IT,True-up costs for Salesforce exceeded estimates,225000.00,180000.00,25.00,2024-01-15T16:00:00Z,resolved,User audit revealed 45 inactive licenses. Negotiated credit for Q2.
medium,pattern,Vendor Payment Terms,CC001-FIN-AP,Increase in early payment discount utilization,85.00,65.00,30.77,2024-01-18T13:00:00Z,resolved,Positive anomaly - Finance team capturing more early payment discounts.
low,variance,Office Supplies,CC001,Office supply costs 20% under budget,10000.00,12500.00,-20.00,2024-01-28T10:30:00Z,dismissed,Remote work policy reduced in-office supply needs. Budget to be adjusted.
high,revenue_drop,Professional Services Revenue,CC002-NAM,PS revenue 15% below Q4 target,2720000.00,3200000.00,-15.00,2024-01-03T08:00:00Z,investigating,Resource constraints limited project starts. Hiring plan accelerated.
medium,cost_spike,Security Infrastructure,CC001-IT-SEC,Security tooling costs increased 30%,130000.00,100000.00,30.00,2024-01-22T14:45:00Z,resolved,Added new SIEM and endpoint protection. Approved as part of security roadmap.
