Snapshot Month,Pipeline Deal ID,Deal Name,Customer Name,Deal Value,License ACV,Implementation Value,Logo Type,Deal Stage,Current Stage,Probability,Expected Close Date,Region,Vertical,Segment,Product Sub-Category
2024-01,PD-201,Acme Digital Platform,Acme Corporation,500000,400000,100000,New Logo,Discovery,Discovery,30%,2024-06-30,North America,Life Sciences,Enterprise,Quantum Platform
2024-01,PD-202,TechFlow Expansion,TechFlow Industries,300000,250000,50000,Upsell,Qualification,Qualification,30%,2024-05-15,Europe,Telecom/Media/Tech,Enterprise,SMART Analytics
2024-01,PD-203,Global Pharma Cross-Sell,Global Pharma Inc,400000,320000,80000,Cross-Sell,Proposal,Proposal,50%,2024-04-30,North America,Life Sciences,Enterprise,Cost Drivers Suite
2024-01,PD-204,RetailMax Extension,RetailMax Holdings,250000,200000,50000,Extension,Negotiation,Negotiation,70%,2024-03-31,LATAM,CPG & Retail,Enterprise,Quantum Platform
2024-01,PD-205,EnergyPlus Renewal,EnergyPlus Corp,225000,180000,45000,Renewal,Proposal,Proposal,50%,2024-04-15,Middle East,Energy & Utilities,Enterprise,SMART Analytics
2024-02,PD-201,Acme Digital Platform,Acme Corporation,550000,440000,110000,New Logo,Qualification,Qualification,30%,2024-06-30,North America,Life Sciences,Enterprise,Quantum Platform
2024-02,PD-202,TechFlow Expansion,TechFlow Industries,350000,280000,70000,Upsell,Proposal,Proposal,50%,2024-05-15,Europe,Telecom/Media/Tech,Enterprise,SMART Analytics
2024-02,PD-203,Global Pharma Cross-Sell,Global Pharma Inc,400000,320000,80000,Cross-Sell,Negotiation,Negotiation,70%,2024-04-30,North America,Life Sciences,Enterprise,Cost Drivers Suite
2024-02,PD-204,RetailMax Extension,RetailMax Holdings,250000,200000,50000,Extension,Closed Won,Closed Won,100%,2024-02-28,LATAM,CPG & Retail,Enterprise,Quantum Platform
2024-02,PD-205,EnergyPlus Renewal,EnergyPlus Corp,225000,180000,45000,Renewal,Negotiation,Negotiation,70%,2024-03-15,Middle East,Energy & Utilities,Enterprise,SMART Analytics
2024-02,PD-206,FinServ New Platform,FinServ Partners,650000,520000,130000,New Logo,Discovery,Discovery,30%,2024-07-31,APAC,BFSI,Enterprise,Opus Enterprise
2024-03,PD-201,Acme Digital Platform,Acme Corporation,600000,450000,150000,New Logo,Proposal,Proposal,50%,2024-06-30,North America,Life Sciences,Enterprise,Quantum Platform
2024-03,PD-202,TechFlow Expansion,TechFlow Industries,350000,280000,70000,Upsell,Negotiation,Negotiation,70%,2024-05-15,Europe,Telecom/Media/Tech,Enterprise,SMART Analytics
2024-03,PD-203,Global Pharma Cross-Sell,Global Pharma Inc,400000,320000,80000,Cross-Sell,Closed Won,Closed Won,100%,2024-03-10,North America,Life Sciences,Enterprise,Cost Drivers Suite
2024-03,PD-205,EnergyPlus Renewal,EnergyPlus Corp,225000,180000,45000,Renewal,Closed Won,Closed Won,100%,2024-03-15,Middle East,Energy & Utilities,Enterprise,SMART Analytics
2024-03,PD-206,FinServ New Platform,FinServ Partners,650000,520000,130000,New Logo,Qualification,Qualification,30%,2024-07-31,APAC,BFSI,Enterprise,Opus Enterprise
2024-03,PD-207,AutoParts SMB Deal,AutoParts Global,95000,75000,20000,Upsell,Discovery,Discovery,30%,2024-06-30,Europe,Automotive and Industrial,SMB,Quantum Platform
2024-04,PD-201,Acme Digital Platform,Acme Corporation,600000,450000,150000,New Logo,Negotiation,Negotiation,70%,2024-06-30,North America,Life Sciences,Enterprise,Quantum Platform
2024-04,PD-202,TechFlow Expansion,TechFlow Industries,350000,280000,70000,Upsell,Closed Won,Closed Won,100%,2024-04-22,Europe,Telecom/Media/Tech,Enterprise,SMART Analytics
