vendor_id,vendor_name,vendor_type,category,contact_name,contact_email,contact_phone,address,city,state,country,postal_code,payment_terms,currency,tax_id,is_active,contract_start_date,contract_end_date,annual_spend,risk_rating,notes
VND-001,Acme Cloud Services,Technology,Cloud Infrastructure,John Smith,john.smith@acmecloud.com,+1-555-0101,123 Tech Park Drive,San Francisco,CA,USA,94105,Net 30,USD,12-3456789,true,2025-01-01,2026-12-31,520000.00,Low,Primary cloud provider
VND-002,Global Consulting Partners,Professional Services,Consulting,Sarah Johnson,sjohnson@globalconsult.com,+1-555-0102,456 Business Center,New York,NY,USA,10001,Net 45,USD,23-4567890,true,2025-03-15,2027-03-14,320000.00,Low,Strategy consulting
VND-003,Office Supplies Plus,Facilities,Office Supplies,Mike Wilson,mwilson@officesupplies.com,+1-555-0103,789 Industrial Blvd,Chicago,IL,USA,60601,Net 15,USD,34-5678901,true,2025-01-01,2026-12-31,52000.00,Low,Preferred office supplier
VND-004,TechSoft Solutions,Technology,Software Licenses,Emily Chen,echen@techsoft.com,+1-555-0104,321 Innovation Way,Austin,TX,USA,78701,Net 30,USD,45-6789012,true,2025-06-01,2027-05-31,380000.00,Medium,Enterprise software licenses
VND-005,Premium Staffing Inc,Human Resources,Staffing,David Brown,dbrown@premiumstaff.com,+1-555-0105,654 HR Plaza,Boston,MA,USA,02101,Net 30,USD,56-7890123,true,2025-02-01,2027-01-31,220000.00,Medium,Contract staffing services
VND-006,SecureIT Corp,Technology,Security,Lisa Anderson,landerson@secureit.com,+1-555-0106,987 Cyber Lane,Seattle,WA,USA,98101,Net 30,USD,67-8901234,true,2025-04-01,2027-03-31,185000.00,Low,Cybersecurity services
VND-007,DataCenter Pro,Technology,Data Center,Robert Taylor,rtaylor@datacenterpro.com,+1-555-0107,147 Server Road,Denver,CO,USA,80201,Net 45,USD,78-9012345,true,2025-01-15,2027-01-14,580000.00,Low,Colocation services
VND-008,Marketing Dynamics,Marketing,Digital Marketing,Jennifer White,jwhite@marketingdyn.com,+1-555-0108,258 Creative Ave,Los Angeles,CA,USA,90001,Net 30,USD,89-0123456,true,2025-05-01,2027-04-30,125000.00,Medium,Digital marketing agency
VND-009,Legal Associates LLP,Professional Services,Legal,Thomas Green,tgreen@legalassoc.com,+1-555-0109,369 Law Center,Washington,DC,USA,20001,Net 60,USD,90-1234567,true,2025-01-01,2026-12-31,195000.00,Low,Corporate legal services
VND-010,Facilities Management Co,Facilities,Building Services,Amanda Martinez,amartinez@facilitiesmgmt.com,+1-555-0110,741 Property Lane,Miami,FL,USA,33101,Net 30,USD,01-2345678,true,2025-03-01,2027-02-28,245000.00,Low,Building maintenance
VND-011,Travel Solutions Inc,Travel,Corporate Travel,Chris Lee,clee@travelsol.com,+1-555-0111,852 Journey Blvd,Phoenix,AZ,USA,85001,Net 15,USD,12-3456780,true,2025-01-01,2026-12-31,145000.00,Low,Corporate travel management
VND-012,Insurance Partners,Finance,Insurance,Nancy Davis,ndavis@insurancepartners.com,+1-555-0112,963 Coverage Way,Hartford,CT,USA,06101,Annual,USD,23-4567891,true,2025-07-01,2027-06-30,98000.00,Low,Business insurance
VND-013,Training Excellence,Human Resources,Training,Mark Thompson,mthompson@trainexcel.com,+1-555-0113,159 Learning Dr,Atlanta,GA,USA,30301,Net 30,USD,34-5678902,true,2025-02-15,2027-02-14,78000.00,Low,Employee training programs
VND-014,Network Solutions Ltd,Technology,Networking,Karen Wilson,kwilson@networksol.com,+1-555-0114,357 Connect Ave,Dallas,TX,USA,75201,Net 30,USD,45-6789013,true,2025-04-15,2027-04-14,225000.00,Medium,Network infrastructure
VND-015,AWS,Technology,Cloud Infrastructure,AWS Enterprise,aws-enterprise@amazon.com,+1-800-555-9000,410 Terry Ave N,Seattle,WA,USA,98109,Net 30,USD,91-1234567,true,2024-01-01,2027-12-31,1850000.00,Low,Primary cloud provider
VND-016,Microsoft Azure,Technology,Cloud Infrastructure,Azure Support,azure-support@microsoft.com,+1-800-555-8000,One Microsoft Way,Redmond,WA,USA,98052,Net 30,USD,91-2345678,true,2024-01-01,2027-12-31,1250000.00,Low,Secondary cloud provider
VND-017,Salesforce,Technology,Software Licenses,Salesforce Enterprise,enterprise@salesforce.com,+1-800-555-7000,415 Mission St,San Francisco,CA,USA,94105,Annual,USD,91-3456789,true,2025-01-01,2027-12-31,580000.00,Low,CRM platform
VND-018,Google Cloud,Technology,Cloud Infrastructure,GCP Support,gcp-support@google.com,+1-800-555-6000,1600 Amphitheatre Parkway,Mountain View,CA,USA,94043,Net 30,USD,91-4567890,true,2025-01-01,2027-12-31,650000.00,Low,AI/ML cloud services
VND-019,Deloitte,Professional Services,Consulting,Deloitte Advisory,advisory@deloitte.com,+1-800-555-5000,30 Rockefeller Plaza,New York,NY,USA,10112,Net 45,USD,91-5678901,true,2025-01-01,2026-12-31,450000.00,Low,Strategic consulting
VND-020,Baker McKenzie,Professional Services,Legal,Baker Legal,legal@bakermckenzie.com,+1-800-555-4000,300 E Randolph St,Chicago,IL,USA,60601,Net 60,USD,91-6789012,true,2025-01-01,2026-12-31,380000.00,Low,Global legal services
