SOW_ID,Customer_Name,Product_Sub_Category,2024_Contribution_Pct,2025_Contribution_Pct,2026_Contribution_Pct
3678,3M Company,Sourcing (Indirect),0,4.3,4.3
3678,3M Company,Spend,0,6.5,6.5
3678,3M Company,Contract,0,6.7,6.7
3678,3M Company,Supplier,0,6.7,6.7
3678,3M Company,P2O,0,10.6,10.6
3678,3M Company,A/P,0,5.3,5.3
3678,3M Company,Projects,0,4.3,4.3
3678,3M Company,ICM,0,5.7,5.7
3678,3M Company,TPRM,0,9.3,9.3
3678,3M Company,Should Cost,0,3.9,3.9
3678,3M Company,Collab,0,9.9,9.9
3678,3M Company,Inventory,0,6.6,6.6
3678,3M Company,MDM item Master Gov,0,4.8,4.8
3678,3M Company,MDM Hist Cleansing,0,2.6,2.6
3678,3M Company,Qi,0,10.1,10.1
3678,3M Company,Other (Pendo),0,2.6,2.6
3679,3M Company,Sourcing (Indirect),0,4.3,4.3
3679,3M Company,Spend,0,6.5,6.5
3679,3M Company,Contract,0,6.7,6.7
3679,3M Company,Supplier,0,6.7,6.7
3679,3M Company,P2O,0,10.6,10.6
3679,3M Company,A/P,0,5.3,5.3
3679,3M Company,Projects,0,4.3,4.3
3679,3M Company,ICM,0,5.7,5.7
3679,3M Company,TPRM,0,9.3,9.3
3679,3M Company,Should Cost,0,3.9,3.9
3679,3M Company,Collab,0,9.9,9.9
3679,3M Company,Inventory,0,6.6,6.6
3679,3M Company,MDM item Master Gov,0,4.8,4.8
3679,3M Company,MDM Hist Cleansing,0,2.6,2.6
3679,3M Company,Qi,0,10.1,10.1
3679,3M Company,Other (Pendo),0,2.6,2.6
2365,Abu Dhabi National Oil Company,Spend,100,100,100
4,ABM,Spend,30.4,30.4,30.4
4,ABM,Supplier,5.1,5.1,5.1
4,ABM,P2O,40.4,40.4,40.4
4,ABM,A/P,20.2,20.2,20.2
4,ABM,Projects,4,4,4
7,ABM,Spend,33.1,33.1,33.1
7,ABM,Supplier,4.9,4.9,4.9
7,ABM,P2O,38.8,38.8,38.8
7,ABM,A/P,19.4,19.4,19.4
7,ABM,Projects,3.9,3.9,3.9
1637,ABM,Catalog Mgmt,100,100,100
3532,ACCOR SA,Other (Pendo),0,100,100
3005,"Acuity Brands Lighting, Inc",Sourcing (Indirect),4.4,4.4,4.4
3005,"Acuity Brands Lighting, Inc",Spend,4.4,4.4,4.4
3005,"Acuity Brands Lighting, Inc",Contract,4.4,4.4,4.4
3005,"Acuity Brands Lighting, Inc",Supplier,4.4,4.4,4.4
3005,"Acuity Brands Lighting, Inc",P2O,40,40,40
3005,"Acuity Brands Lighting, Inc",A/P,20,20,20
3005,"Acuity Brands Lighting, Inc",Projects,4.4,4.4,4.4
3005,"Acuity Brands Lighting, Inc",ICM,4.4,4.4,4.4
3005,"Acuity Brands Lighting, Inc",Should Cost,4.4,4.4,4.4
3005,"Acuity Brands Lighting, Inc",Inventory,4.4,4.4,4.4
3005,"Acuity Brands Lighting, Inc",Other (Pendo),4.4,4.4,4.4
3006,"Acuity Brands Lighting, Inc",Sourcing (Indirect),4.4,4.4,4.4
3006,"Acuity Brands Lighting, Inc",Spend,4.4,4.4,4.4
3006,"Acuity Brands Lighting, Inc",Contract,4.4,4.4,4.4
3006,"Acuity Brands Lighting, Inc",Supplier,4.4,4.4,4.4
3006,"Acuity Brands Lighting, Inc",P2O,40,40,40
3006,"Acuity Brands Lighting, Inc",A/P,20,20,20
3006,"Acuity Brands Lighting, Inc",Projects,4.4,4.4,4.4
3006,"Acuity Brands Lighting, Inc",ICM,4.4,4.4,4.4
3006,"Acuity Brands Lighting, Inc",Should Cost,4.4,4.4,4.4
3006,"Acuity Brands Lighting, Inc",Inventory,4.4,4.4,4.4
3006,"Acuity Brands Lighting, Inc",Other (Pendo),4.4,4.4,4.4
3715,"Acuity Brands Lighting, Inc",Sourcing (Indirect),0,4.4,4.4
3715,"Acuity Brands Lighting, Inc",Spend,0,4.4,4.4
3715,"Acuity Brands Lighting, Inc",Contract,0,4.4,4.4
3715,"Acuity Brands Lighting, Inc",Supplier,0,4.4,4.4
3715,"Acuity Brands Lighting, Inc",P2O,0,40,40
3715,"Acuity Brands Lighting, Inc",A/P,0,20,20
3715,"Acuity Brands Lighting, Inc",Projects,0,4.4,4.4
3715,"Acuity Brands Lighting, Inc",ICM,0,4.4,4.4
3715,"Acuity Brands Lighting, Inc",Should Cost,0,4.4,4.4
3715,"Acuity Brands Lighting, Inc",Inventory,0,4.4,4.4
3715,"Acuity Brands Lighting, Inc",Other (Pendo),0,4.4,4.4
3705,"Acuity Brands Lighting, Inc",Contract,0,100,100
3761,"Acuity Brands Lighting, Inc",Contract,0,100,100
2501,Addax Engergy SA,Sourcing (Indirect),20,20,20
2501,Addax Engergy SA,Contract,20,20,20
2501,Addax Engergy SA,Supplier,20,20,20
2501,Addax Engergy SA,P2O,13.3,13.3,13.3
2501,Addax Engergy SA,A/P,6.7,6.7,6.7
2501,Addax Engergy SA,Projects,20,20,20
2502,Addax Engergy SA,Sourcing (Indirect),20,20,20
2502,Addax Engergy SA,Contract,20,20,20
2502,Addax Engergy SA,Supplier,20,20,20
2502,Addax Engergy SA,P2O,13.3,13.3,13.3
2502,Addax Engergy SA,A/P,6.7,6.7,6.7
2502,Addax Engergy SA,Projects,20,20,20
3431,Adobe Inc.,Qi,0,100,100
3432,Adobe Inc.,Qi,0,100,100
3644,Adobe Inc.,Sourcing (Direct),0,12.5,12.5
3644,Adobe Inc.,Spend,0,12.7,12.7
3644,Adobe Inc.,Contract,0,12.5,12.5
3644,Adobe Inc.,Supplier,0,12.5,12.5
3644,Adobe Inc.,P2O,0,14.6,14.6
3644,Adobe Inc.,A/P,0,7.3,7.3
3644,Adobe Inc.,Projects,0,12.9,12.9
3644,Adobe Inc.,ICM,0,0.9,0.9
3644,Adobe Inc.,TPRM,0,14.2,14.2
3644,Adobe Inc.,Other (Pendo),0,0,0
3353,AÉROPORTS DE MONTRÉAL,Sourcing (Indirect),23.5,23.5,23.5
3353,AÉROPORTS DE MONTRÉAL,Spend,35.3,35.3,35.3
3353,AÉROPORTS DE MONTRÉAL,Contract,11.8,11.8,11.8
3353,AÉROPORTS DE MONTRÉAL,Supplier,17.6,17.6,17.6
3353,AÉROPORTS DE MONTRÉAL,Projects,11.8,11.8,11.8
3354,Fluxym Canada Inc.,Sourcing (Indirect),29.9,29.9,29.9
3354,Fluxym Canada Inc.,Spend,29.9,29.9,29.9
3354,Fluxym Canada Inc.,Contract,11.9,11.9,11.9
3354,Fluxym Canada Inc.,Supplier,20.9,20.9,20.9
3354,Fluxym Canada Inc.,Projects,7.5,7.5,7.5
13,Ahlstrom,Spend,100,100,100
2737,Munksjo,Spend,100,100,100
14,Ahlstrom,Spend,100,100,100
1123,AkzoNobel,Spend,100,100,100
2492,"Amyris, Inc.",Spend,100,100,100
2508,Alcority Global Limited,Sourcing (Indirect),47.7,47.7,47.7
2508,Alcority Global Limited,Supplier,52.3,52.3,52.3
1719,Alliant Credit Union,Spend,100,100,100
1641,Amcor Singapore Pte Ltd,Spend,100,100,100
1047,AHA,Sourcing (Indirect),50,50,50
1047,AHA,Supplier,50,50,50
1294,Ameren Services,Spend,67.9,67.9,67.9
1294,Ameren Services,Projects,32.1,32.1,32.1
3347,APAR Industries Limited,Sourcing (Indirect),10.6,10.6,10.6
3347,APAR Industries Limited,Spend,13.1,13.1,13.1
3347,APAR Industries Limited,Contract,10.6,10.6,10.6
3347,APAR Industries Limited,Supplier,12.7,12.7,12.7
3347,APAR Industries Limited,P2O,21.2,21.2,21.2
3347,APAR Industries Limited,A/P,10.6,10.6,10.6
3347,APAR Industries Limited,Projects,10.6,10.6,10.6
3347,APAR Industries Limited,Cat WB,10.6,0,0
3347,APAR Industries Limited,ICM,0,10.6,10.6
3347,APAR Industries Limited,Other (Pendo),0,0,0
3348,APAR Industries Limited,Sourcing (Indirect),11.3,11.3,11.3
3348,APAR Industries Limited,Spend,11.3,11.3,11.3
3348,APAR Industries Limited,Contract,11.3,11.3,11.3
3348,APAR Industries Limited,Supplier,11.3,11.3,11.3
3348,APAR Industries Limited,P2O,23.7,23.7,23.7
3348,APAR Industries Limited,A/P,11.8,11.8,11.8
3348,APAR Industries Limited,Projects,9.7,9.7,9.7
3348,APAR Industries Limited,Cat WB,9.7,0,0
3348,APAR Industries Limited,ICM,0,9.7,9.7
3348,APAR Industries Limited,Other (Pendo),0,0,0
1269,Aperam S.A,Sourcing (Indirect),50,50,50
1269,Aperam S.A,Contract,50,50,50
40,"Apex Tool Group, LLC",Sourcing (Indirect),19,19,19
40,"Apex Tool Group, LLC",Spend,24,24,24
40,"Apex Tool Group, LLC",Contract,19,19,19
40,"Apex Tool Group, LLC",P2O,25.3,25.3,25.3
40,"Apex Tool Group, LLC",A/P,12.7,12.7,12.7
40,"Apex Tool Group, LLC",Other (Pendo),0,0,0
1694,APi Group,Spend,75,75,75
1694,APi Group,Projects,25,25,25
1695,APi Group,Spend,77.8,77.8,77.8
1695,APi Group,Projects,22.2,22.2,22.2
3280,APi Group,P2O,100,100,100
3308,APi Group,Sourcing (Indirect),7.6,7.6,7.6
3308,APi Group,Contract,7.6,7.6,7.6
3308,APi Group,Supplier,7.6,7.6,7.6
3308,APi Group,P2O,51.5,51.5,51.5
3308,APi Group,A/P,25.8,25.8,25.8
3370,APi Group,Sourcing (Indirect),7.6,7.6,7.6
3370,APi Group,Contract,7.6,7.6,7.6
3370,APi Group,Supplier,7.6,7.6,7.6
3370,APi Group,P2O,51.5,51.5,51.5
3370,APi Group,A/P,25.8,25.8,25.8
3685,APi Group,Sourcing (Indirect),0,7.6,7.6
3685,APi Group,Contract,0,7.6,7.6
3685,APi Group,Supplier,0,7.6,7.6
3685,APi Group,P2O,0,51.5,51.5
3685,APi Group,A/P,0,25.8,25.8
3754,APi Group,Sourcing (Indirect),0,7.6,7.6
3754,APi Group,Contract,0,7.6,7.6
3754,APi Group,Supplier,0,7.6,7.6
3754,APi Group,P2O,0,51.5,51.5
3754,APi Group,A/P,0,25.8,25.8
3752,APi Group,Sourcing (Indirect),0,7.6,7.6
3752,APi Group,Contract,0,7.6,7.6
3752,APi Group,Supplier,0,7.6,7.6
3752,APi Group,P2O,0,51.5,51.5
3752,APi Group,A/P,0,25.8,25.8
3753,APi Group,Sourcing (Indirect),0,7.6,7.6
3753,APi Group,Contract,0,7.6,7.6
3753,APi Group,Supplier,0,7.6,7.6
3753,APi Group,P2O,0,51.5,51.5
3753,APi Group,A/P,0,25.8,25.8
3513,APi Group,Sourcing (Indirect),0,100,100
3514,APi Group,Sourcing (Indirect),0,100,100
1982,"Apotex, Inc.",Spend,100,100,100
3462,Aryzta AG,Sourcing (Indirect),0,12,12
3462,Aryzta AG,Spend,0,12,12
3462,Aryzta AG,Contract,0,12,12
3462,Aryzta AG,Supplier,0,12,12
3462,Aryzta AG,Projects,0,12,12
3462,Aryzta AG,ICM,0,12,12
3462,Aryzta AG,Click,0,28,28
3463,Aryzta AG,Sourcing (Indirect),0,12,12
3463,Aryzta AG,Spend,0,12,12
3463,Aryzta AG,Contract,0,12,12
3463,Aryzta AG,Supplier,0,12,12
3463,Aryzta AG,Projects,0,12,12
3463,Aryzta AG,ICM,0,12,12
3463,Aryzta AG,Click,0,28,28
1197,Asahi CE & Europe Services s.r.o.,Sourcing (Indirect),15.7,15.7,15.7
1197,Asahi CE & Europe Services s.r.o.,Contract,15.7,15.7,15.7
1197,Asahi CE & Europe Services s.r.o.,Supplier,10.8,10.8,10.8
1197,Asahi CE & Europe Services s.r.o.,P2O,36.6,36.6,36.6
1197,Asahi CE & Europe Services s.r.o.,Projects,15.7,15.7,15.7
1197,Asahi CE & Europe Services s.r.o.,Click,5.5,5.5,5.5
1873,"Ascend Performance 
Materials Holdings, Inc.",Sourcing (Indirect),9.7,9.7,9.7
1873,"Ascend Performance 
Materials Holdings, Inc.",Contract,14.6,14.6,14.6
1873,"Ascend Performance 
Materials Holdings, Inc.",P2O,44.8,44.8,44.8
1873,"Ascend Performance 
Materials Holdings, Inc.",A/P,22.4,22.4,22.4
1873,"Ascend Performance 
Materials Holdings, Inc.",Click,8.5,8.5,8.5
3895,Aster Chemical and Energy PTE LTD,Other (Pendo),0,100,100
1084,AAMC,Sourcing (Indirect),33.3,33.3,33.3
1084,AAMC,Contract,33.3,33.3,33.3
1084,AAMC,Supplier,33.3,33.3,33.3
82,Assurant,Sourcing (Indirect),9.2,9.2,9.2
82,Assurant,Spend,23,23,23
82,Assurant,Contract,9.2,9.2,9.2
82,Assurant,Supplier,9.2,9.2,9.2
82,Assurant,P2O,26.7,26.7,26.7
82,Assurant,A/P,13.4,13.4,13.4
82,Assurant,Projects,9.2,9.2,9.2
82,Assurant,Other (Pendo),0,0,0
89,Astellas,Spend,100,100,100
92,AstraZeneca UK Limited,Spend,100,100,100
3144,A2A,Other (Pendo),100,100,100
95,AT&T,Spend,100,100,100
98,AT&T,Sourcing (Indirect),100,100,100
