Snapshot_Month,SOW_ID,Customer_Name,Quantum/SMART,Quantum Go-Live Date,Starting_ARR,New Business_ARR,Expansion_ARR,Schedule Change_ARR,Contraction_ARR,Churn_ARR,Ending_ARR,Region,Vertical,Segment,Contract_Start_Date,Contract_End_Date,Renewal_Risk
1/1/2024,4,ABM,SMART,12/31/2027,274600,0,22000,0,0,0,"$296,600",,,,,,
1/1/2024,13,Ahlstrom,SMART,,85855,0,0,0,0,0,"$85,855",,,,,,
1/1/2024,40,"Apex Tool Group, LLC",SMART,12/31/2026,499500,0,0,0,0,0,"$499,500",,,,,,
1/1/2024,82,Assurant,SMART,12/31/2027,440000,0,0,0,0,0,"$440,000",,,,,,
1/1/2024,89,Astellas,SMART,,181000,0,0,0,0,0,"$181,000",,,,,,
1/1/2024,92,AstraZeneca UK Limited,SMART,,185000,0,5554,0,0,0,"$190,554",,,,,,
1/1/2024,95,AT&T,Quantum,2/28/2026,198096,0,0,0,0,0,"$198,096",,,,,,
1/1/2024,98,AT&T,SMART,4/20/2026,45000,0,0,0,0,0,"$45,000",,,,,,
1/1/2024,110,AVX Corporation,SMART,,115000,0,0,0,0,0,"$115,000",,,,,,
1/1/2024,119,Bank of America N.A.,Quantum,,275000,0,0,0,0,0,"$275,000",,,,,,
1/1/2024,149,Biogen Idec MA,SMART,,88000,0,0,0,0,0,"$88,000",,,,,,
1/1/2024,155,Bio-Rad Laboratories,SMART,,71500,0,0,0,0,0,"$71,500",,,,,,
1/1/2024,156,BioMarin Pharmaceutical Inc.,SMART,,148989.09,0,0,0,0,0,"$148,989",,,,,,
1/1/2024,160,"Black Hills Service Company, LLC",SMART,,56000,0,0,0,0,0,"$56,000",,,,,,
1/1/2024,169,Walgreen (Boots),SMART,12/31/2027,392905.5,0,0,0,-15111.75,0,"$377,794",,,,,,
1/1/2024,171,Bonneville Power Administration,SMART,1/15/2026,165000,0,0,0,0,0,"$165,000",,,,,,
1/1/2024,176,"Brighthouse Services, LLC",Quantum,2/23/2026,399000,0,0,0,0,0,"$399,000",,,,,,
1/1/2024,197,"CCBCC Operations, LLC",SMART,,129000,0,0,0,0,0,"$129,000",,,,,,
1/1/2024,217,Chevron Services Company,SMART,12/31/2027,2600000,0,0,0,0,0,"$2,600,000",,,,,,
1/1/2024,225,"Chick-fil-A, Inc.",SMART,,85000,0,0,0,0,0,"$85,000",,,,,,
1/1/2024,234,Cincinnati Bell,SMART,12/31/2027,90000,0,0,0,0,0,"$90,000",,,,,,
1/1/2024,235,Cincinnati Bell,SMART,12/31/2027,150000,0,0,0,0,0,"$150,000",,,,,,
1/1/2024,238,Cincinnati Bell,SMART,12/31/2027,0,0,36000,0,0,0,"$36,000",,,,,,
1/1/2024,259,Cox Communications,SMART,9/30/2027,96000,0,4800,0,0,0,"$100,800",,,,,,
